partida_id,casa,fora,gols_casa,gols_fora
25,tchequia,africa-do-sul,1,1
26,suica,bosnia,4,1
27,canada,catar,6,0
28,mexico,coreia-do-sul,1,0
29,eua,australia,2,0
30,escocia,marrocos,0,1
31,brasil,haiti,3,0
32,turquia,paraguai,0,1
33,holanda,suecia,5,1
34,alemanha,costa-do-marfim,2,1
35,equador,curacao,0,0
36,tunisia,japao,0,4
37,espanha,arabia-saudita,4,0
38,belgica,ira,0,0
39,uruguai,cabo-verde,2,2
40,nova-zelandia,egito,1,3
41,argentina,austria,2,0
42,franca,iraque,3,0
43,noruega,senegal,3,2
44,jordania,argelia,1,2
